date,borough,complaints_total,unique_complaints,topk_ABANDONED_VEHICLE_cnt,topk_BLOCKED_DRIVEWAY_cnt,topk_HEAT_HOT_WATER_cnt,topk_ILLEGAL_PARKING_cnt,topk_NOISE___RESIDENTIAL_cnt,topk_NOISE___STREET_SIDEWALK_cnt,topk_OTHER_cnt,topk_STREET_CONDITION_cnt,topk_UNSANITARY_CONDITION_cnt,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,census_income_borough_median,census_population_borough_sum,airbnb_listing_count,airbnb_price_mean,airbnb_price_median,airbnb_rating_mean,airbnb_total_reviews,airbnb_entire_home_pct,airbnb_per_1000_people_borough,day_of_week,is_weekend,month,temp_mean_lag1,temp_mean_ma7,precipitation_sum_lag1,precipitation_sum_ma7,complaints_total_ma7,log_complaints_total,event_day
2024-01-30,BRONX,2092,2092,33,69,530,230,184,19,878,28,121,0.5083333333333333,4.3,-4.0,0.0,0.0,0.0,9.766666666666667,18.141666666666666,59.958333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,1,2.8125,4.282738095238095,0.7000000000000001,5.057142857142857,1779.428571428571,7.646353722445999,0
2024-01-31,BRONX,1878,1878,31,67,473,212,148,19,813,13,102,2.004166666666667,4.4,-2.2,0.2,0.2,0.0,8.058333333333334,14.858333333333333,83.66666666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,1,0.5083333333333333,4.133928571428571,0.0,4.585714285714286,1784.142857142857,7.538494999413465,0
2024-02-01,BRONX,1892,1892,31,71,418,253,138,11,817,40,113,2.4916666666666667,9.0,-3.4,0.6000000000000001,0.6000000000000001,0.0,9.970833333333331,16.916666666666668,70.75,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,2,2.004166666666667,3.2113095238095237,0.2,3.9,1779.428571428571,7.545918151209323,0
2024-02-02,BRONX,1632,1632,26,74,301,219,153,11,722,18,108,3.6875,6.0,1.4,6.3,6.3,0.0,12.641666666666666,21.445833333333336,72.91666666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,2,2.4916666666666667,2.883928571428572,0.6000000000000001,4.1571428571428575,1777.571428571429,7.398174092970465,0
2024-02-03,BRONX,1519,1519,11,62,364,241,279,17,467,12,66,1.025,6.0,-3.2,0.0,0.0,0.0,16.483333333333334,29.429166666666664,9.5,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,2,3.6875,2.261309523809524,6.3,4.1571428571428575,1781.142857142857,7.326465613840322,0
2024-02-04,BRONX,1468,1468,16,85,381,227,257,25,418,5,54,0.8999999999999999,7.5,-3.8,0.0,0.0,0.0,11.154166666666669,19.929166666666667,0.3333333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,2,1.025,1.918452380952381,0.0,1.1142857142857143,1778.0,7.292337176173877,0
2024-02-05,BRONX,1867,1867,33,59,502,265,139,13,727,18,111,0.8916666666666667,7.1,-3.2,0.0,0.0,0.0,16.912499999999998,28.825,0.75,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,2,0.8999999999999999,1.6440476190476192,0.0,1.0142857142857142,1764.0,7.532623618788788,0
2024-02-06,BRONX,2145,2145,35,74,596,231,150,6,897,17,139,-0.2791666666666666,5.7,-4.9,0.0,0.0,0.0,13.595833333333331,24.441666666666663,0.125,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,2,0.8916666666666667,1.531547619047619,0.0,1.0142857142857142,1771.571428571429,7.671360923190644,0
2024-02-07,BRONX,1924,1924,29,63,438,240,137,23,831,37,126,1.5416666666666667,8.1,-3.7,0.0,0.0,0.0,8.641666666666667,16.075,18.375,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,2,-0.2791666666666666,1.4654761904761904,0.0,0.9857142857142857,1778.142857142857,7.562681246721884,0
2024-02-08,BRONX,1706,1706,26,55,293,246,155,23,788,20,100,2.3375,10.0,-3.8,0.0,0.0,0.0,6.554166666666667,12.941666666666668,50.958333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,2,1.5416666666666667,1.443452380952381,0.0,0.9,1751.571428571429,7.442492722794441,0
